Time,Connected,Pending,Closed,Service_Available
0.5,0,500,0,500
1.5,0,500,0,500
2.0,0,500,0,500
2.5,0,500,0,500
3.0,0,500,0,500
3.5,0,500,0,500
4.0,0,500,0,500
4.5,0,500,0,500
5.5,0,500,0,500
6.0,0,500,0,500
7.0,0,500,0,500
8.0,0,500,0,500
9.0,0,500,0,500
9.5,0,500,0,500
10.0,0,500,0,500
10.5,0,500,0,500
11.0,0,500,0,500
11.5,0,500,0,500
12.0,0,500,0,500
13.0,0,500,0,500
13.5,0,500,0,500
16.5,29,471,0,500
20.5,69,431,0,500
22.0,88,412,0,500
24.0,120,380,0,500
25.5,196,304,0,500
31.0,306,194,0,500
34.0,447,53,0,500
34.5,478,22,0,0
35.0,479,21,0,0
35.5,480,20,0,0
36.0,481,19,0,0
36.5,482,18,0,0
37.0,483,17,0,0
37.5,484,16,0,0
38.0,485,15,0,0
38.5,486,14,0,0
39.0,487,13,0,0
39.5,488,12,0,0
40.0,489,11,0,0
40.5,490,10,0,0
41.0,491,9,0,0
41.5,492,8,0,0
42.0,493,7,0,0
42.5,494,6,0,0
43.0,495,5,0,0
43.5,496,4,0,0
44.0,497,3,0,0
44.5,498,2,0,0
45.0,499,1,0,0
45.5,500,0,0,0
46.0,500,0,0,0
46.5,500,0,0,0
47.0,500,0,0,0
47.5,500,0,0,0
48.0,500,0,0,0
48.5,500,0,0,0
49.0,500,0,0,0
49.5,500,0,0,0
50.0,500,0,0,0
50.5,500,0,0,0
51.0,500,0,0,0
51.5,500,0,0,0
52.0,500,0,0,0
52.5,500,0,0,0
53.0,500,0,0,0
53.5,500,0,0,0
54.0,500,0,0,0
54.5,500,0,0,0
55.0,500,0,0,0
55.5,500,0,0,0
56.0,500,0,0,0
56.5,500,0,0,0
57.0,500,0,0,0
57.5,500,0,0,0
58.0,500,0,0,0
58.5,500,0,0,0
59.0,500,0,0,0
59.5,500,0,0,0
60.0,500,0,0,0
60.5,500,0,0,0
61.0,500,0,0,0
61.5,500,0,0,0
62.0,500,0,0,0
62.5,500,0,0,0
63.0,500,0,0,0
63.5,500,0,0,0
64.0,500,0,0,0
64.5,500,0,0,0
65.0,500,0,0,0
65.5,500,0,0,0
66.0,500,0,0,0
66.5,500,0,0,0
67.0,500,0,0,0
67.5,500,0,0,0
68.0,500,0,0,0
68.5,500,0,0,0
69.0,500,0,0,0
69.5,500,0,0,0
70.0,500,0,0,0
70.5,500,0,0,0
71.0,500,0,0,0
71.5,500,0,0,0
72.0,500,0,0,0
72.5,500,0,0,0
73.0,500,0,0,0
73.5,500,0,0,0
74.0,500,0,0,0
74.5,500,0,0,0
75.0,498,0,2,0
75.5,486,0,14,0
76.0,472,0,28,0
76.5,445,0,55,0
77.0,430,0,70,0
77.5,423,0,77,0
78.0,419,0,81,0
78.5,413,0,87,0
79.0,411,0,89,0
79.5,410,0,90,0
80.5,407,0,93,0
81.0,401,0,99,0
81.5,399,0,101,0
82.0,393,0,107,500
82.5,383,0,117,500
83.0,367,0,133,500
84.0,360,0,140,500
84.5,346,0,154,500
85.0,314,0,186,500
85.5,282,0,218,500
86.0,260,0,240,500
86.5,242,0,258,500
87.0,240,0,260,500
87.5,237,0,263,500
88.0,232,0,268,500
88.5,221,0,279,500
89.0,217,0,283,500
89.5,211,0,289,500
